year,plant_type,new_capacity_MW
2025,nuclear,0.0
2025,wind,1117.5372142794395
2025,solar,0.0
2025,gas,724.0315850162388
2025,hydro,0.0
2025,biofuel,0.0
2026,nuclear,0.0
2026,wind,410.51675654576957
2026,solar,0.0
2026,gas,884.1237825423159
2026,hydro,0.0
2026,biofuel,0.0
2027,nuclear,0.0
2027,wind,193.00547815937261
2027,solar,0.0
2027,gas,1029.0982503720697
2027,hydro,0.0
2027,biofuel,0.0
2028,nuclear,0.0
2028,wind,0.0
2028,solar,0.0
2028,gas,1051.7384118802602
2028,hydro,0.0
2028,biofuel,0.0
2029,nuclear,0.0
2029,wind,0.0
2029,solar,0.0
2029,gas,1074.8766569416402
2029,hydro,0.0
2029,biofuel,0.0
2030,nuclear,0.0
2030,wind,0.0
2030,solar,0.0
2030,gas,1098.523943394328
2030,hydro,0.0
2030,biofuel,0.0
2031,nuclear,0.0
2031,wind,0.0
2031,solar,0.0
2031,gas,1122.691470149024
2031,hydro,0.0
2031,biofuel,0.0
2032,nuclear,0.0
2032,wind,0.0
2032,solar,0.0
2032,gas,1147.3906824922924
2032,hydro,0.0
2032,biofuel,0.0
2033,nuclear,0.0
2033,wind,0.0
2033,solar,0.0
2033,gas,1172.6332775071205
2033,hydro,0.0
2033,biofuel,0.0
2034,nuclear,0.0
2034,wind,0.0
2034,solar,0.0
2034,gas,1198.4312096122776
2034,hydro,0.0
2034,biofuel,0.0
2035,nuclear,0.0
2035,wind,0.0
2035,solar,0.0
2035,gas,1224.7966962237588
2035,hydro,0.0
2035,biofuel,0.0
2036,nuclear,0.0
2036,wind,0.0
2036,solar,0.0
2036,gas,1251.7422235406593
2036,hydro,0.0
2036,biofuel,0.0
2037,nuclear,0.0
2037,wind,0.0
2037,solar,0.0
2037,gas,1279.2805524585856
2037,hydro,0.0
2037,biofuel,0.0
2038,nuclear,0.0
2038,wind,0.0
2038,solar,0.0
2038,gas,1307.4247246126542
2038,hydro,0.0
2038,biofuel,0.0
2039,nuclear,0.0
2039,wind,0.0
2039,solar,0.0
2039,gas,1336.1880685541328
2039,hydro,0.0
2039,biofuel,0.0
2040,nuclear,0.0
2040,wind,0.0
2040,solar,0.0
2040,gas,1365.5842060623254
2040,hydro,0.0
2040,biofuel,0.0
2041,nuclear,0.0
2041,wind,0.0
2041,solar,0.0
2041,gas,1395.627058595699
2041,hydro,0.0
2041,biofuel,0.0
2042,nuclear,0.0
2042,wind,0.0
2042,solar,0.0
2042,gas,1426.3308538848141
2042,hydro,0.0
2042,biofuel,0.0
2043,nuclear,0.0
2043,wind,0.0
2043,solar,0.0
2043,gas,0.0
2043,hydro,0.0
2043,biofuel,0.0
2044,nuclear,0.0
2044,wind,0.0
2044,solar,0.0
2044,gas,0.0
2044,hydro,0.0
2044,biofuel,0.0
2045,nuclear,0.0
2045,wind,0.0
2045,solar,0.0
2045,gas,0.0
2045,hydro,0.0
2045,biofuel,0.0
